GEF_ID,Agency,Region,Country,Title,GEF replenishment phase,Status,GEF4 SP list,GEF_ProjectGrant_CALC,CoFinance_CALC,Endorced/Approved Date,Actual date of implementation start,Date_start_CALC,Date_start_year
1156,UNDP,Asia,India,Mainstreaming Conservation and Sustainable Use of Medicinal Plant Diversity in Three Indian States,,,," 4,935,000 "," 4,630,000 ",9-Jul-08,,9-Jul-08,2008
1718,UNDP,Asia,Pakistan,Mainstreaming B Conservation into Production Systems in the Juniper Forest Ecosystem,,,," 975,000 "," 1,255,500 ",,,0-Jan-00,1900
1852,UNDP,Asia,Bhutan,Linking and Enhancing Protected Areas in the Temperate Broadleaf Forest Ecoregion of Bhutan (LINKPA),,,," 792,000 "," 745,000 ",,,0-Jan-00,1900
2472,UNDP,Asia,Sri Lanka,Strengthening Capacity to Control the Introduction and Spread of Alien Invasive Species,,,," 1,825,000 "," 8,651,754 ",,,0-Jan-00,1900
3024,UNDP,Asia,India,SLEM - Sustainable Participatory Management of Natural Resources to Promote Ecosystem Health and Resilience in the Thar Desert Ecosystem,,,," 909,090 "," 15,000,000 ",,,0-Jan-00,1900
3287,UNDP,Asia,Bangladesh,Community Based Adaptation to Climate Change through Coastal Afforestation,,,," 3,300,000 "," 7,100,000 ",10-Dec-08,,10-Dec-08,2008
3445,UNDP,Asia,Thailand,SFM: Integrated Community-based Forest and  Catchment Management through an Ecosystem Service Approach (CBFCM),,,," 1,758,182 "," 12,560,000 ",,,0-Jan-00,1900
3469,UNDP,Asia,India,SLEM/CPP-Sustainable Land Management in Shifting Cultivation Areas of Nagaland for Ecological and Livelihood Security,,,," 3,600,000 "," 25,416,612 ",26-May-09,,26-May-09,2009
3472,UNDP,Asia,India,SLEM-CPP-Integrated Land Use Management to Combat Land Degradation in Madja Pradesh,,,," 5,763,000 "," 95,523,750 ",18-Sep-09,,18-Sep-09,2009
3517,UNDP,Asia,Thailand,Catalyzing Sustainability of Thailand's Protected Area System,,,," 3,364,545 "," 14,200,000 ",17-Nov-09,,17-Nov-09,2009
3603,UNDP,Asia,Vietnam,Removing Barriers Hindering PA Management Effectiveness in Vietnam,,,," 3,536,360 "," 18,541,043 ",24-Mar-10,,24-Mar-10,2010
3635,UNDP,Asia,Cambodia,SFM Strengthening Sustainable Forest Management and the Development of Bio-energy Markets to Promote Environmental Sustainability and to Reduce Green House Gas Emissions in Cambodia,,,," 2,363,635 "," 7,600,000 ",27-May-10,,27-May-10,2010
3820,UNDP,Asia,Mongolia,Strengthening of the Protected Area Networking System in Mongolia (SPAN),,,," 1,363,630 "," 2,922,858 ",10-Aug-10,,10-Aug-10,2010
3825,UNDP,Asia,Pakistan,Mountains and Markets: Biodiversity and Business in Northern Pakistan,,,," 1,793,182 "," 3,488,000 ",17-May-11,,17-May-11,2011
3844,UNDP,Asia,Bhutan,Promoting Sustainable Rural Biomass Energy,,,," 1,703,000 "," 2,360,000 ",,,0-Jan-00,1900
3864,UNDP,Asia,China,CBPF: Strengthening Globally Important Biodiversity Conservation Through Protected Area Strengthening in Gansu Province,,,," 1,738,000 "," 7,280,000 ",22-Jun-10,,22-Jun-10,2010
3940,UNDP,Asia,Thailand,Sustainable Management of B in Thailand's Production Landscape,,,," 1,940,000 "," 10,022,858 ",,,0-Jan-00,1900
4413,UNDP,Asia,Bangladesh,Community Based Adaptation to Climate Change through Participative Coastal Afforestation and Water Security ,,,," 3,000,000 "," 6,500,000 ",,,0-Jan-00,1900
4746,Multi-Agency,Asia,Regional,Implementation of Global and Regional Oceanic Fisheries Conventions and Related Instruments in the Pacific Small Island Developing States (SIDS),,,," 10,000,000 "," 84,934,375 ",1-Jul-14,,1-Jul-14,2014
5395,Multi-Agency,Asia,Regional,"R2R- Pacific Islands Ridge-to-Reef National Priorities – Integrated Water, Land, Forest and Coastal Management to Preserve Biodiversity, Ecosystem Services, Store Carbon, Improve Climate Resilience and Sustain Livelihoods",,,," 1,386,513 ", -   ,,,0-Jan-00,1900
2140,UNEP,AFR,Regional,Removing Barriers to Invasive Plant Management in Africa,,,," 5,000,000 "," 2,231,000 ",,,0-Jan-00,1900
3682,UNEP,AFR,Uganda,Developing an Experimental Methodology for Testing the Effectiveness of Payments for Ecosystem Services to Enhance Conservation in Productive Landscapes in Uganda,,,," 870,000 "," 1,232,400 ",,,0-Jan-00,1900
4739,UNEP,AFR,Cameroon,Participative Integrated Ecosystem Services Management Plans for Bakassi Post Conflict Ecosystems  (PINESMAP-BPCE),,,," 2,652,968 "," 13,600,000 ",3-Feb-17,,3-Feb-17,2017
4970,UNEP,AFR,Cote d'Ivoire,"Integrated Management of Protected Areas in Cote d'Ivoire, West Africa",,,," 4,240,000 "," 48,745,550 ",6-Apr-15,,6-Apr-15,2015
5272,UNEP,AFR,Kenya,Scaling up Sustainable Land Management and Biodiversity Conservation to Reduce Environmental Degradation in Small Scale Agriculture in Western Kenya,,,," 3,583,800 "," 9,904,405 ",12-Jul-16,,12-Jul-16,2016
5746,UNEP,AFR,Mali,Scaling up and Replicating Successful Sustainable Land Management (SLM) and Agroforestry Practices in the Koulikoro Region of Mali ,,,," 1,543,835 "," 7,785,000 ",14-Jun-16,,14-Jun-16,2016
9366,UNEP,AFR,Cote d'Ivoire,"Sustainability and Scaling Up Approaches for Transformational Management, Restoration and Conservation of Forests Landscapes and Biodiversity in Cote d’Ivoire (SSATMARC –FOLAB)",,,," 2,831,050 "," 27,065,000 ",,,0-Jan-00,1900
9405,UNEP,AFR,Niger,Integrated Management of Oasis Ecosystems of Northern Niger (IMOE -NN),,,," 4,596,588 "," 34,300,000 ",,,0-Jan-00,1900
9524,UNEP,AFR,Tanzania,Supporting the implementation of integrated ecosystem management approach for landscape restoration and biodiversity conservation in Tanzania,,,,,,,,0-Jan-00,1900
9526,UNEP,AFR,Kenya,"Enhancing integrated natural resource management to arrest and reverse current trends in biodiversity and land degradation for increased ecosystem services in the Tana Delta, Kenya",,,,,,,,0-Jan-00,1900
9604,UNEP,AFR,Cameroon,"Removing Barriers to Biodiversity Conservation, Land Restoration and Sustainable Forest Management through Community-based Landscape Management – COBALAM",,,," 3,105,023 "," 19,000,000 ",,,0-Jan-00,1900
4905,UNEP,Asia,Cambodia,Strengthening National Biodiversity and Forest Carbon Stock Conservation through Landscape-based Collaborative Management of Cambodia’s Protected Area System as Demonstrated in the Eastern Plains Landscape (CAMPAS Project),,,," 4,718,182 "," 14,570,590 ",25-Aug-15,,25-Aug-15,2015
5208,UNEP,Asia,Palau,R2R: Advancing Sustainable Resources Management to Improve Livelihoods and Protect Biodiversity in Palau,,,," 3,747,706 "," 15,800,000 ",28-Apr-16,,28-Apr-16,2016
1163,UNEP,ECA,Russian Federation,An Integrated Ecosystem Management Approach to Conserve B and Minimize Habitat Fragmentation in Three Selected Model Areas in the Russian Arctic (ECORA),,,," 3,000,000 "," 20,520,000 ",28-May-08,,28-May-08,2008
1994,UNEP,ECA,Regional,Conservation and Sustainable Use of B through Sound Tourism Development in Biosphere Reserves in Central and Eastern Europe,,,," 941,900 "," 23,999,000 ",,,0-Jan-00,1900
465,UNEP,Global,Global,Development of Best Practices and Dissemination of Lessons Learned for Dealing with the Global Problem of Alien Species that Threaten Biological Diversity,,,," 750,000 "," 3,085,000 ",25-May-04,,25-May-04,2004
1769,UNEP,Global,Global,Integrated Management of Peatlands for B and Climate Change: The Potential of Managing Peatlands for Carbon Accumulation While Protecting B,,,," 972,705 "," 1,368,000 ",,,0-Jan-00,1900
3077,UNEP,Global,Global,Greening the Cocoa Industry,,,," 5,000,000 "," 1,872,000 ",,,0-Jan-00,1900
3790,UNEP,Global,Global,Communities of Conservation: Safeguarding the World's Most Threatened Species,,,," 1,775,000 "," 8,050,000 ",,,0-Jan-00,1900
4235,UNEP,Global,Global,SFM Facilitating financing for Sustainable Forest Management in SIDS and LFCCs,,,," 950,000 "," 1,000,000 ",,,0-Jan-00,1900
4452,UNEP,Global,Global,Blue Forests - Carbon Accounting Methodologies for Coastal Management,,,," 4,500,000 "," 8,270,000 ",,,0-Jan-00,1900
5356,UNEP,Global,Global,Global Forest Watch 2.0 FW 2.0,,,," 5,342,465 "," 27,894,000 ",31-Aug-15,,31-Aug-15,2015
1410,UNEP,LAC,Regional,B Conservation and Integration of Traditional Knowledge on Medicinal Plants in National Primary Health Care Policy in Central America and Caribbean,,,," 725,000 "," 1,020,000 ",2-Aug-10,,2-Aug-10,2010
2861,UNEP,LAC,Regional,Mainstreaming B Conservation into Tourism through the Development and Dissemination of Best Practices,,,," 972,272 "," 80,303,500 ",,,0-Jan-00,1900
2868,UNEP,LAC,Dominican Republic,Payment for Ecosystem Services in Las Neblinas Scientific Reserve as a Pilot Approach to Ecosystem Management that Promotes the Sustainability of Protected Areas ,,,," 1,156,955 "," 1,185,431 ",,,0-Jan-00,1900
3813,UNEP,LAC,Mexico,Integrating Trade-offs between Supply of Ecosystem Services and Land Use Options into Poverty Alleviation Efforts and Development Planning,,,," 5,900,000 "," 9,788,530 ",13-Oct-10,,13-Oct-10,2010
3816,UNEP,LAC,Mexico,Mainstreaming the Conservation of Ecosystem Services and Biodiversity at the Micro-watershed Scale in Chiapas,,,," 1,484,044 "," 5,902,275 ",16-Jul-10,,16-Jul-10,2010
4750,UNEP,LAC,Regional,Multiplying Environmental and Carbon Benefits in High Andean Ecosystems ,,,," 4,796,364 "," 16,159,826 ",19-Mar-14,,19-Mar-14,2014
4847,UNEP,LAC,Bahamas,"Pine Islands - Forest/Mangrove Innovation and Integration (Grand Bahama, New Providence, Abaco and Andros) ",,,," 2,853,425 "," 7,695,258 ",8-Sep-15,,8-Sep-15,2015
5057,UNEP,LAC,St. Lucia,Iyanola - Natural Resource Management of the NE Coast,,,," 2,331,818 "," 5,018,881 ",4-Dec-14,,4-Dec-14,2014
5135,UNEP,LAC,Chile,Protecting Biodiversity and Multiple Ecosystem Services in Biological Mountain Corridors in Chile’s Mediterranean Ecosystem ,,,," 5,657,201 "," 26,952,404 ",4-May-15,,4-May-15,2015
5390,UNEP,LAC,Antigua And Barbuda,Sustainable Pathways - Protected Areas and Renewable Energy,,,," 2,639,726 "," 7,980,000 ",4-Feb-15,,4-Feb-15,2015
1707,UNEP,Asia,Lebanon,Integrated Management of Cedar Forests in Lebanon in Cooperation with other Mediterranean Countries,,,," 530,500 "," 629,500 ",,,0-Jan-00,1900
5531,UNEP,LAC,Haiti,Ecosystem Approach to Haiti Cote Sud,,,," 6,216,000 "," 42,669,700 ",21-Dec-15,,21-Dec-15,2015
9406,UNEP,LAC,St. Lucia,Integrated Ecosystem Management and Restoration of Forests on the South East Coast of St. Lucia ,,,," 4,428,145 "," 28,655,560 ",,,0-Jan-00,1900
1353,UNEP,Asia,China,Nature Conservation and Flood Control in the Yangtze River Basin,,,," 3,650,000 "," 459,400 ",3-May-10,,3-May-10,2010
4932,Multi-Agency,LAC,Regional,"Integrating Water, Land and Ecosystems Management in Caribbean Small Island Developing States (IWEco)",,,," 20,722,571 "," 68,017,191 ",15-Apr-15,,15-Apr-15,2015
18,World Bank,AFR,Kenya,Lewa Wildlife Conservancy,,,," 725,000 "," 3,193,000 ",5-Aug-96,,5-Aug-96,1996
48,World Bank,AFR,Congo,Wildlands Protection and Management,,,," 10,000,000 "," 3,800,000 ",,,0-Jan-00,1900
85,World Bank,AFR,Cameroon,Biodiversity Conservation and Management,,,," 5,960,000 "," 6,430,000 ",,,0-Jan-00,1900
101,World Bank,AFR,Uganda,Institutional Capacity Building for Protected Areas Management and Sustainable Use (ICB-PAMSU),,,," 2,000,000 "," 11,850,000 ",15-Jan-98,,15-Jan-98,1998
102,World Bank,AFR,Mauritius,B Restoration,,,," 1,200,000 "," 400,000 ",1-Jul-97,,1-Jul-97,1997
134,World Bank,AFR,South Africa,Cape Peninsula B Conservation Project,,,," 12,300,000 "," 80,800,000 ",25-May-99,,25-May-99,1999
136,World Bank,AFR,Ghana,Natural Resource Management,,,," 8,700,000 "," 53,500,000 ",11-May-98,,11-May-98,1998
793,World Bank,AFR,Benin,Program for the Management of Forests and Adjacent Lands,,,," 6,000,000 "," 16,350,000 ",8-May-06,,8-May-06,2006
816,World Bank,AFR,Mauritius,Restoration of Round Island,,,," 750,000 ", -   ,16-Feb-06,,16-Feb-06,2006
1063,World Bank,AFR,Cameroon,Forest and Environment Development Policy Grant (FEDPG),,,," 10,000,000 "," 116,532,850 ",6-Jan-06,,6-Jan-06,2006
1064,World Bank,AFR,Gabon,Strengthening Capacity for Managing National Parks and Biodiversity,,,," 10,000,000 "," 16,700,000 ",1-Mar-06,,1-Mar-06,2006
1330,World Bank,AFR,Zambia,Sustainable Land Management in the Zambian Miombo Woodland Ecosystem,,,," 747,000 "," 22,950,000 ",11-May-10,,11-May-10,2010
1362,World Bank,AFR,Kenya,Western Kenya Integrated Ecosystem Management Project,,,," 4,100,000 "," 4,400,000 ",2-Feb-05,,2-Feb-05,2005
1503,World Bank,AFR,Nigeria,National Fadama Development Program II (NFDP II): Critical Ecosystem Management,,,," 10,020,000 "," 44,450,000 ",,,0-Jan-00,1900
1830,World Bank,AFR,Uganda,Protected Areas Management and Sustainable Usa (PAMSU),,,," 8,000,000 "," 613,575 ",,,0-Jan-00,1900
2183,World Bank,AFR,Ghana,Community-based Integrated Natural Resources Management Project in Okyeman,,,," 848,000 "," 1,182,181 ",,,0-Jan-00,1900
2948,World Bank,AFR,Sierra Leone,Biodiversity Conservation Project,,,," 5,000,000 "," 18,800,000 ",11-Nov-09,,11-Nov-09,2009
3533,World Bank,AFR,Cote d'Ivoire,"Protected Area Project (Projet d'Appui a la Relance de la Conservation des Parcs et Reserves, PARC-CI)",,,," 2,540,000 "," 12,989,000 ",16-Mar-09,,16-Mar-09,2009
3618,World Bank,AFR,"Regional (Malawi, Zambia)",Sustainable Management of Nyika Transfrontier Conservation Area,,,," 4,817,000 "," 12,446,000 ",24-Sep-10,,24-Sep-10,2010
3692,World Bank,AFR,Malawi,Effective Management of  Nkhotakota Wildlife Reserve (PDMNWR),,,," 845,000 "," 2,461,035 ",1-Sep-10,,1-Sep-10,2010
3836,World Bank,AFR,Ghana,SPWA B: Management of Riparian Biological Corridors,,,," 1,000,000 "," 6,100,000 ",3-Sep-10,,3-Sep-10,2010
4075,World Bank,AFR,Benin,SPWA-B Support to Protected Areas Management,,,," 1,900,000 "," 7,400,000 ",14-Mar-11,,14-Mar-11,2011
4082,World Bank,AFR,Angola,National Biodiversity Project,,,," 2,000,000 "," 6,000,000 ",,,0-Jan-00,1900
4084,World Bank,AFR,Cameroon,CBSP Conservation and Sustainable Use of the Ngoyla Mintom Forest,,,," 3,500,000 "," 6,500,000 ",,,0-Jan-00,1900
4105,World Bank,AFR,Sierra Leone,SPWA-B Wetlands Conservation Project,,,," 1,800,000 "," 3,380,000 ",27-Jan-11,,27-Jan-11,2011
4503,World Bank,AFR,"Regional (Gambia, Guinea, Guinea-Bissau, Senegal)",Gambia River Basin Project,,,," 10,000,000 "," 42,000,000 ",,,0-Jan-00,1900
4625,World Bank,AFR,Malawi,Shire Natural Ecosystems Management Project,,,,," 68,314,000 ",,,0-Jan-00,1900
4631,World Bank,AFR,Burundi,Watershed Approach to Sustainable Coffee Production in Burundi,,,,," 21,500,000 ",,,0-Jan-00,1900
4645,World Bank,AFR,Zimbabwe,Hwange-Sanyati Biological Corridor (HSBC) Environment Management and Conservation Project ,,,,," 14,473,000 ",,,0-Jan-00,1900
4709,World Bank,AFR,Togo,GGW: Integrated Disaster and Land Management (IDLM) Project,,,," 9,157,407 "," 55,290,000 ",21-Nov-11,,21-Nov-11,2011
4907,World Bank,AFR,Nigeria,GGW: Nigeria Erosion and Watershed Management Project (NEWMAP),,,," 8,592,593 "," 500,000,000 ",12-Apr-12,,12-Apr-12,2012
4908,World Bank,AFR,Chad,GGW: Agriculture Production Support Project (with Sustainable Land and Water Management),,,," 9,259,259 "," 102,250,000 ",12-Apr-12,,12-Apr-12,2012
4952,World Bank,AFR,Rwanda,Landscape Approach to Forest Restoration and Conservation (LAFREC) ,,,," 9,532,000 "," 51,596,000 ",7-Jul-14,,7-Jul-14,2014
5187,World Bank,AFR,Burkina Faso,GGW: Community based Rural Development Project 3rd Phase with Sustainable Land and Forestry Management,,,," 7,407,408 "," 97,350,000 ",21-Nov-12,,21-Nov-12,2012
5215,World Bank,AFR,Benin,GGW: Forests and Adjacent Lands Management Project,,,," 5,555,556 "," 46,450,000 ",30-Jan-13,,30-Jan-13,2013
5221,World Bank,AFR,Ghana,PSG-Additional financing - Sustainable Land and Water Management Project,,,," 8,750,000 "," 59,500,000 ",22-Apr-14,,22-Apr-14,2014
5225,World Bank,AFR,Mozambique,Mozambique Conservation Areas for Biodiversity and Development Project,,,," 6,319,635 "," 61,500,000 ",1-Oct-14,,1-Oct-14,2014
5252,World Bank,AFR,Niger,GGW: Third Phase of the Community Action Program,,,," 4,518,518 "," 43,652,000 ",23-Apr-13,,23-Apr-13,2013
5264,World Bank,AFR,Gabon,Sustainable Management of Critical Wetlands Ecosystems Project,,,," 8,471,000 "," 37,226,267 ",6-Feb-14,,6-Feb-14,2014
5270,World Bank,AFR,Mali,GGW Natural Resources Management in a Changing Climate in Mali ,,,," 8,425,926 "," 13,000,000 ",29-Oct-13,,29-Oct-13,2013
5449,World Bank,AFR,Senegal,PSG- Sustainable and Inclusive Agribusiness  Development Project ,,,," 6,018,519 "," 80,000,000 ",8-Nov-13,,8-Nov-13,2013
5619,World Bank,AFR,Sudan,GGW Sudan Sustainable Natural Resources Management Project SSNRMP,,,," 7,731,481 "," 25,680,000 ",13-Nov-13,,13-Nov-13,2013
5792,World Bank,AFR,Mauritania,PSG-Sustainable Landscape Management Project under SAWAP,,,," 4,810,000 "," 19,200,000 ",12-May-15,,12-May-15,2015
9330,World Bank,AFR,Madagascar,Sustainable Agriculture Landscape Project,,,," 13,699,083 "," 93,000,000 ",1-Feb-17,,1-Feb-17,2017
9575,World Bank,AFR,Sudan,Sudan Sustainable Natural Resources Management Project- Additional Financing,,,," 5,504,586 "," 18,800,000 ",,,0-Jan-00,1900
9700,World Bank,AFR,Congo,Strengthening the Management of Wildlife and Improving Livelihoods in Northern Republic of Congo,,,," 6,509,761 "," 123,790,000 ",22-Feb-17,,22-Feb-17,2017
9842,World Bank,AFR,Malawi,Shire Valley Transformation Program - I,,,," 5,587,156 "," 39,100,000 ",9-Aug-17,,9-Aug-17,2017
4650,World Bank,Asia,Lao PDR,GMS-FBP: Strengthening Protection and Management Effectiveness for Wildlife and Protected Areas,,,," 6,825,688 "," 27,450,000 ",6-Feb-14,,6-Feb-14,2014
4690,World Bank,Asia,Regional,Capturing Coral Reef and Related Ecosystem Services (CCRES),,,," 4,500,000 "," 27,810,000 ",19-Aug-13,,19-Aug-13,2013
4942,World Bank,Asia,India,India Ecosystems Service Improvement Project ,,,," 20,500,000 "," 115,000,000 ",7-Jan-15,,7-Jan-15,2015
5364,World Bank,Asia,India,Program to Establish Pilots for Access through Renewable Energy,,,," 12,844,000 "," 28,100,000 ",20-Oct-16,,20-Oct-16,2016
9265,World Bank,Asia,Vietnam,Mekong Delta Integrated Climate Resilience and Sustainable Livelihoods Project,,,," 5,890,831 "," 310,000,000 ",,,0-Jan-00,1900
90,World Bank,ECA,Russian Federation,B Conservation,,,," 20,100,000 "," 5,900,000 ",21-Apr-99,,21-Apr-99,1999
110,World Bank,ECA,Regional,Central Asia Transboundary B Project,,,," 10,150,000 "," 3,500,000 ",26-Apr-99,,26-Apr-99,1999
129,World Bank,ECA,Romania,Biodiversity Conservation Management Project,,,," 5,500,000 "," 3,300,000 ",29-Apr-99,,29-Apr-99,1999
458,World Bank,ECA,Turkey,B and Natural Resources Management Project,,,," 8,200,000 "," 3,233,000 ",5-Apr-02,,5-Apr-02,2002
512,World Bank,ECA,Georgia,Protected Areas Development,,,," 8,700,000 "," 21,050,000 ",29-Mar-01,,29-Mar-01,2001
537,World Bank,ECA,Belarus,B Protection,,,," 1,000,000 "," 2,861,000 ",12-Nov-04,,12-Nov-04,2004
539,World Bank,ECA,Poland,Forest Biodiversity Protection,,,," 4,500,000 "," 1,700,000 ",,,0-Jan-00,1900
566,World Bank,ECA,Czech Republic,Biodiversity Protection,,,," 2,000,000 "," 750,000 ",,,0-Jan-00,1900
567,World Bank,ECA,Slovak Republic,Biodiversity Protection,,,," 2,300,000 "," 870,000 ",,,0-Jan-00,1900
1074,World Bank,ECA,Turkey,Anatolia Watershed Rehabilitation Project - under WB-GEF Strategic Partnership for Nutrient Reduction in the Danube River and Black Sea,,,," 7,000,000 "," 38,110,000 ",4-May-04,,4-May-04,2004
1133,World Bank,ECA,Croatia,Karst Ecosystem Conservation Project,,,," 5,070,000 "," 5,998,600 ",20-Mar-06,,20-Mar-06,2006
1206,World Bank,ECA,Armenia,Natural Resources Management and Poverty Reduction,,,," 5,120,000 "," 10,880,000 ",7-May-02,,7-May-02,2002
1303,World Bank,ECA,Russian Federation,Strengthening Protected Areas Network for Sikhote-Alin Mountian Forest Ecosystems Conservation in Khabarovsky Kray,,,," 750,000 "," 1,000,000 ",,,0-Jan-00,1900
1535,World Bank,ECA,Azerbaijan,Rural Environment Project,,,," 5,000,000 "," 12,100,000 ",12-May-05,,12-May-05,2005
1600,World Bank,ECA,Moldova,Biodiversity Conservation in the Lower Dniester Delta Ecosystem,,,," 975,000 "," 1,040,550 ",,,0-Jan-00,1900
2354,World Bank,ECA,Kazakhstan,Forest Protection and Reforestation,,,," 5,000,000 "," 58,800,000 ",25-Oct-05,,25-Oct-05,2005
2669,World Bank,ECA,Albania,Natural Resources Development Project,,,," 5,000,000 "," 17,750,000 ",,,0-Jan-00,1900
4352,World Bank,ECA,Tajikistan,Environmental Land Management and Rural Livelihoods,,,," 5,400,000 "," 16,860,000 ",5-Mar-13,,5-Mar-13,2013
4778,World Bank,ECA,Albania,Environmental Services Project,,,," 2,884,848 "," 22,574,815 ",19-Mar-14,,19-Mar-14,2014
4779,World Bank,ECA,Bosnia-Herzegovina,Sustainable Forest and Landscape Management ,,,," 5,575,757 "," 18,400,000 ",19-Dec-13,,19-Dec-13,2013
6947,World Bank,ECA,Belarus,Belarus Forestry Development Project,,,," 2,739,726 "," 40,714,000 ",23-Dec-14,,23-Dec-14,2014
9037,World Bank,ECA,Kyrgyz Republic,Sustainable Forest and Land Management ,,,," 4,109,589 "," 12,000,000 ",20-Jul-15,,20-Jul-15,2015
3818,World Bank,Global,Global,SFM Capacity Development for Climate Change Mitigation through Sustainable Forest Management in non-Annex I Countries,,,," 1,000,000 "," 1,811,542 ",,,0-Jan-00,1900
57,World Bank,LAC,Bolivia,B Conservation,,,," 4,500,000 "," 3,850,000 ",5-Nov-97,,5-Nov-97,1997
61,World Bank,LAC,Ecuador,Biodiversity Protection,,,," 7,200,000 "," 1,500,000 ",,,0-Jan-00,1900
92,World Bank,LAC,Argentina,Biodiversity Conservation Project,,,," 10,100,000 "," 11,500,000 ",25-Aug-97,,25-Aug-97,1997
117,World Bank,LAC,Nicaragua,Atlantic Biological Corridor,,,," 7,100,000 "," 43,600,000 ",31-Jul-03,,31-Jul-03,2003
133,World Bank,LAC,Panama,Atlantic Mesoamerican Biological Corridor Project,,,," 8,300,000 "," 30,900,000 ",17-May-00,,17-May-00,2000
496,World Bank,LAC,Belize,Northern Belize Biological Corridors Project,,,," 723,500 "," 380,000 ",16-Aug-05,,16-Aug-05,2005
620,World Bank,LAC,Bolivia,Sustainability of the National System of Protected Areas,,,," 15,000,000 "," 2,250,000 ",21-Jul-06,,21-Jul-06,2006
644,World Bank,LAC,Mexico,El Triunfo Biosphere Reserve: Habitat Enhancement in Productive Landscapes,,,," 725,000 "," 1,346,350 ",10-Jan-08,,10-Jan-08,2008
671,World Bank,LAC,Costa Rica,Ecomarkets,,,," 8,000,000 "," 41,200,000 ",18-May-00,,18-May-00,2000
681,World Bank,LAC,Panama,Effective Protection with Community Participation of the New Protected Area of San Lorenzo,,,," 725,000 "," 415,000 ",11-Oct-07,,11-Oct-07,2007
775,World Bank,LAC,Ecuador,Choco-Andean Corridor,,,," 974,663 "," 2,353,266 ",21-Jun-00,,21-Jun-00,2000
778,World Bank,LAC,Mexico,Indigenous and Community Biodiversity Conservation (COINBIO),,,," 7,500,000 "," 11,200,000 ",27-Oct-00,,27-Oct-00,2000
779,World Bank,LAC,Mexico,Mesoamerican Biological Corridor,,,," 14,840,000 "," 1,475,102 ",25-Apr-02,,25-Apr-02,2002
844,World Bank,LAC,Chile,Valdivian Forest Zone: Private-Public Mechanisms for B Conservation,,,," 726,670 "," 261,500 ",30-Apr-04,,30-Apr-04,2004
847,World Bank,LAC,Nicaragua,Renewable Energy and Forest Conservation: Sustainable Harvest and Processing of Coffee and Allspice,,,," 725,000 "," 1,444,000 ",,,0-Jan-00,1900
863,World Bank,LAC,Belize,Community-managed Sarstoon Temash Conservation Project,,,," 806,680 "," 100,000 ",30-Jan-06,,30-Jan-06,2006
945,World Bank,LAC,Ecuador,National Protected Areas System,,,," 8,000,000 "," 3,900,000 ",2-May-03,,2-May-03,2003
979,World Bank,LAC,Costa Rica,Biodiversity Conservation in Cacao Agro-forestry,,,," 725,000 "," 2,293,000 ",,,0-Jan-00,1900
1377,World Bank,LAC,Chile,Santiago Foothills: Mountain Ecosystem Conservation,,,," 725,000 "," 1,100,000 ",10-Nov-10,,10-Nov-10,2010
1489,World Bank,LAC,Paraguay,B Conservation and Sustainable Use in the Mbaracayu Natural Reserve,,,," 973,513 "," 44,320,000 ",,,0-Jan-00,1900
1637,World Bank,LAC,Guatemala,Community Management of the Bio-Itza Reserve Project,,,," 725,000 "," 754,000 ",,,0-Jan-00,1900
1794,World Bank,LAC,Bolivia,Removing Obstacles to Direct Private-Sector Participation in In-situ B Conservation,,,," 680,000 "," 30,000,000 ",,,0-Jan-00,1900
2078,World Bank,LAC,Mexico,Consolidation of the Protected Area System (SINAP II) - Second Tranche,,,," 2,210,000 "," 1,000,000 ",,,0-Jan-00,1900
2099,World Bank,LAC,"Regional (Honduras, Nicaragua)",Corazon Transboundary Biosphere Reserve,,,," 12,000,000 "," 22,360,000 ",,,0-Jan-00,1900
2102,World Bank,LAC,Panama,"Second Rural Poverty, Natural Resources Management and Consolidation of the Mesoamerican Biological Corridor Project",,,," 6,000,000 "," 29,545,061 ",,,0-Jan-00,1900
2443,World Bank,LAC,Mexico,Environmental Services Project,,,," 15,000,000 "," 3,415,000 ",,,0-Jan-00,1900
2594,World Bank,LAC,Venezuela,DHEKUANA NONOODO:  Sustainable Use and Conservation of B Resources of Dhekuana Indigenous Lands,,,," 750,000 "," 4,036,000 ",,,0-Jan-00,1900
2635,World Bank,LAC,El Salvador,Protected Areas Consolidation and Administration,,,," 5,000,000 "," 54,000,000 ",,,0-Jan-00,1900
2655,World Bank,LAC,Mexico,Consolidation of the Protected Area System (SINAP II) - Fourth Tranche,,,," 5,440,000 "," 14,640,000 ",,,0-Jan-00,1900
2690,World Bank,LAC,Paraguay,SFM Improving the Conservation of Biodiversity in  Atlantic Forest of Eastern Paraguay,,,," 4,500,000 "," 13,791,450 ",12-Apr-10,,12-Apr-10,2010
2754,World Bank,LAC,Argentina,Biodiversity Conservation in Productive Forestry Landscapes,,,," 7,000,000 "," 8,880,000 ",6-Jun-07,,6-Jun-07,2007
2884,World Bank,LAC,Costa Rica,Mainstreaming Market-based Instruments for Environmental Management Project,,,," 10,000,000 "," 17,500,000 ",,,0-Jan-00,1900
3830,World Bank,LAC,Argentina,Rural Corridors and Biodiversity Conservation,,,," 6,289,030 "," 17,705,020 ",15-Jul-11,,15-Jul-11,2011
4104,World Bank,LAC,Chile,Sustainable Land Management,,,," 5,863,636 "," 3,079,520 ",,,0-Jan-00,1900
